category,mod,description,integration,png,matched_jar,matched_name
Systems & Automation,Powah,"Power generation, storage, and wireless energy progression.",Let Powah become the approachable energy ladder before extreme reactors and deep automation.,notes/mod_thumbnail_cards/cards/26-systems-automation-powah.png,Powah-5.0.11.jar,Powah
Systems & Automation,Flux Networks,Wireless energy transfer and storage.,Use it to reduce cable stress and support distant sky islands without visual clutter.,notes/mod_thumbnail_cards/cards/27-systems-automation-flux-networks.png,FluxNetworks-1.20.1-7.2.1.15.jar,Flux Networks
Systems & Automation,LaserIO,Compact item/fluid/energy routing with laser nodes.,"Present LaserIO as precise executive-function wiring: small nodes, clear filters, big relief.",notes/mod_thumbnail_cards/cards/28-systems-automation-laserio.png,laserio-1.6.8.jar,LaserIO
Systems & Automation,Extreme Reactors,Large multiblock reactors and turbines.,Make it a late-game commitment quest about building a stable core instead of chasing constant emergency power.,notes/mod_thumbnail_cards/cards/29-systems-automation-extreme-reactors.png,ExtremeReactors2-1.20.1-2.0.97.jar,Extreme Reactors
Grounding & Routine,Cooking for Blockheads,"Kitchen blocks, cooking interfaces, and food management.","Use kitchens as comfort hubs: routine meals, buffs, and a softer reason to care for the base.",notes/mod_thumbnail_cards/cards/30-grounding-routine-cooking-for-blockheads.png,cookingforblockheads-forge-1.20.1-16.0.15.jar,CookingForBlockheads
Grounding & Routine,Bonsai Trees,Compact tree growing and harvesting.,"Make early wood production feel dependable: one tiny tree, one repeatable promise.",notes/mod_thumbnail_cards/cards/31-grounding-routine-bonsai-trees.png,BonsaiTrees3-1.20.1-3.3.2.jar,Bonsai Trees 3
Grounding & Routine,Botany Pots,Potted crop automation and compact farming.,"Use pots for low-pressure routines that produce food, dye, and resources without sprawling farms.",notes/mod_thumbnail_cards/cards/32-grounding-routine-botany-pots.png,BotanyPots-Forge-1.20.1-13.0.43.jar,BotanyPots
Grounding & Routine,Botany Trees,Tree support for Botany Pots.,"Give players quiet, compact orchards that fit skyblock bases.",notes/mod_thumbnail_cards/cards/33-grounding-routine-botany-trees.png,BotanyTrees-Forge-1.20.1-9.0.20.jar,BotanyTrees
Grounding & Routine,Productive Bees,Bee breeding and resource production.,"Make bees a curiosity branch: gentle observation, patience, genetics, and resource growth.",notes/mod_thumbnail_cards/cards/34-grounding-routine-productive-bees.png,productivebees-1.20.1-12.6.0.jar,Productive Bees
Grounding & Routine,Productive Trees,Tree breeding and resource trees.,Use tree breeding as a slow progress loop for players who enjoy nurturing systems.,notes/mod_thumbnail_cards/cards/35-grounding-routine-productive-trees.png,productivetrees-1.20.1-0.2.6.jar,Productive Trees
Grounding & Routine,Mystical Agriculture,Resource crops and essence-based crafting.,"Frame essence farming as grounding repetition: tend, harvest, upgrade, breathe.",notes/mod_thumbnail_cards/cards/36-grounding-routine-mystical-agriculture.png,MysticalAgriculture-1.20.1-7.0.23.jar,Mystical Agriculture
Grounding & Routine,Mystical Agriculture Addons,Additions and customization for Mystical Agriculture.,Use addons for optional specialization after the basic farm loop feels safe.,notes/mod_thumbnail_cards/cards/37-grounding-routine-mystical-agriculture-addons.png,MysticalAgradditions-1.20.1-7.0.12.jar,Mystical Agradditions
Grounding & Routine,Ceramics,"Clay barrels, tanks, channels, and early utility blocks.","Use clay tech as the tactile first craft: simple materials, useful containment, visible progress.",notes/mod_thumbnail_cards/cards/38-grounding-routine-ceramics.png,Ceramics-1.20.1-1.8.0.jar,Ceramics
Grounding & Routine,Hearth & Home,"Cozy building, home, and decor additions.","Make homebuilding an actual progression reward, not just cosmetics after the work is done.",notes/mod_thumbnail_cards/cards/39-grounding-routine-hearth-home.png,hearth_and_home-forge-1.20.1-2.0.1.jar,Hearth & Home
Grounding & Routine,Stardew Fishing,Fishing mechanics inspired by cozy life-sim rhythms.,"Use fishing as a regulation minigame: pause the rush, gather food, and let the base breathe.",notes/mod_thumbnail_cards/cards/40-grounding-routine-stardew-fishing.png,stardew_fishing-3.6-1.20.1.jar,Stardew Fishing
Magic & Intuition,Botania,"Mana-based natural magic built around flowers, automation, and elegant systems.","Use Botania as nonlinear engineering: beauty, pattern recognition, and automation through living systems.",notes/mod_thumbnail_cards/cards/41-magic-intuition-botania.png,aiotbotania-1.20.1-4.0.8.jar,AIOT Botania
Magic & Intuition,Botania Addons,"Additional Botania tools, machines, and cross-mod integrations.",Let addon quests become optional deep-focus routes for players who fall in love with mana logic.,notes/mod_thumbnail_cards/cards/42-magic-intuition-botania-addons.png,BotanicAdditions-1.20.1-20.1.3.jar,Botanic Additions
Magic & Intuition,Ars Nouveau,"Spellcrafting, magical automation, familiars, and glyph-based progression.","Use glyph discovery as language acquisition: naming needs, shaping tools, and building agency.",notes/mod_thumbnail_cards/cards/43-magic-intuition-ars-nouveau.png,ars_nouveau-1.20.1-4.12.7-all.jar,Ars Nouveau
Magic & Intuition,Blood Magic,"Ritual magic, sacrifice, will, and altar progression.",Handle as a consent-and-cost branch: power that asks what the player is willing to spend and why.,notes/mod_thumbnail_cards/cards/44-magic-intuition-blood-magic.png,bloodmagic-1.20.1-3.3.5-47.jar,Blood Magic
Magic & Intuition,Malum,"Soul magic, spirits, runework, and occult progression.",Use Malum for shadow-work quests about integrating difficult feelings instead of banishing them.,notes/mod_thumbnail_cards/cards/45-magic-intuition-malum.png,malum-1.20.1-1.6.7.jar,Malum
Magic & Intuition,Thaumon,Thaumcraft-inspired magical research and discovery.,"Make it the wonder/research branch: curiosity, notes, experiments, and strange new categories.",notes/mod_thumbnail_cards/cards/46-magic-intuition-thaumon.png,thaumon-forge-2.3.0+1.20.1.jar,Thaumon
Magic & Intuition,Relics,Powerful discoverable artifacts and curios.,Use relics sparingly as identity objects: tools the player earns by becoming more themselves.,notes/mod_thumbnail_cards/cards/47-magic-intuition-relics.png,relics-1.20.1-0.8.0.13.jar,Relics
Magic & Intuition,Apotheosis,"Bosses, affixes, spawners, enchantment expansion, and progression loot.",Use it to turn gear growth into readable milestones while keeping difficulty spikes quest-gated.,notes/mod_thumbnail_cards/cards/48-magic-intuition-apotheosis.png,Apotheosis-1.20.1-7.4.8.jar,Apotheosis
Challenge & Chaos,Born in Chaos,"Hostile mobs, encounters, and danger-focused content.",Use as controlled overwhelm: opt-in combat chapters that teach preparation and exits.,notes/mod_thumbnail_cards/cards/49-challenge-chaos-born-in-chaos.png,born_in_chaos_[Forge]1.20.1_1.7.4.jar,Born in Chaos
Challenge & Chaos,L_Ender's Cataclysm,"Large bosses, dungeons, and high-pressure combat encounters.","Make each boss a named threshold, with preparation quests before the fight and recovery after.",notes/mod_thumbnail_cards/cards/50-challenge-chaos-l-ender-s-cataclysm.png,L_Enders_Cataclysm-3.26-laserfix.jar,cataclysm
Challenge & Chaos,Infernal Mobs,Randomly empowered mobs with special modifiers.,"Use carefully so chaos feels like texture, not punishment; pair with better rewards and escape tools.",notes/mod_thumbnail_cards/cards/51-challenge-chaos-infernal-mobs.png,infernalmobs-1.20.1.11.jar,Infernal Mobs
Challenge & Chaos,Mutant Monsters,Stronger mutant versions of familiar mobs.,"Use as recognizable fear made bigger: clear, dramatic, and mechanically legible.",notes/mod_thumbnail_cards/cards/52-challenge-chaos-mutant-monsters.png,MutantMonsters-v8.0.8-1.20.1-Forge.jar,Mutant Monsters
Challenge & Chaos,Dungeon Crawl,Generated dungeons for exploration and combat.,"Make dungeon entry a preparedness milestone, not an early accident.",notes/mod_thumbnail_cards/cards/53-challenge-chaos-dungeon-crawl.png,Dungeon Crawl-1.20.1-2.3.15.jar,Dungeon Crawl
Challenge & Chaos,When Dungeons Arise,Large structures and adventure dungeons.,Use as major sky/land expedition targets with Waystone return routes.,notes/mod_thumbnail_cards/cards/54-challenge-chaos-when-dungeons-arise.png,DungeonsArise-1.20.x-2.1.58-release.jar,When Dungeons Arise
Challenge & Chaos,Gateways to Eternity,Wave-based gateway fights and mob arenas.,"Use gateways as contained pressure sessions with clear starts, endings, and rewards.",notes/mod_thumbnail_cards/cards/55-challenge-chaos-gateways-to-eternity.png,GatewaysToEternity-1.20.1-4.2.6.jar,Gateways To Eternity
Challenge & Chaos,Alex's Mobs,Adds many animals and creatures with unique behavior and drops.,"Use it to make the world feel alive, with quests that notice ecology instead of only loot.",notes/mod_thumbnail_cards/cards/56-challenge-chaos-alex-s-mobs.png,alexsmobs-1.22.9.jar,Alex's Mobs
Challenge & Chaos,Creeper Overhaul,Biome-themed creeper variants.,"Use variants as environmental awareness lessons, with sensory-safe warning and prep quests.",notes/mod_thumbnail_cards/cards/57-challenge-chaos-creeper-overhaul.png,creeperoverhaul-3.0.2-forge.jar,Creeper Overhaul
Exploration & Movement,Waystones,Teleportation stones for travel networks.,"Make waystones the pack's chosen-route system: name places, return safely, and reduce travel fatigue.",notes/mod_thumbnail_cards/cards/58-exploration-movement-waystones.png,waystones-forge-1.20.1-14.1.20.jar,Waystones
Exploration & Movement,Twilight Forest,"A full adventure dimension with bosses, biomes, and progression.",Use it as a mythic chapter after the base is stable: the inner forest beyond survival.,notes/mod_thumbnail_cards/cards/59-exploration-movement-twilight-forest.png,tf_dnv-1.2.3.jar,Twilight Forest - Dungeons & Villages
Exploration & Movement,Paraglider,Stamina-based gliding and movement tools.,Give the void a gentler relationship: falling becomes navigation once the player earns it.,notes/mod_thumbnail_cards/cards/60-exploration-movement-paraglider.png,Paraglider-forge-20.1.3.jar,Paraglider
Quality of Life,JEI,"Recipe and usage viewer for items, fluids, and crafting systems.","Make JEI a quest-taught research tool: search, bookmark, compare, and reduce uncertainty.",notes/mod_thumbnail_cards/cards/61-quality-of-life-jei.png,jei-1.20.1-forge-15.20.0.112.jar,Just Enough Items
Quality of Life,Jade,"In-world information overlay for blocks, entities, fluids, and machines.",Use Jade as environmental literacy: the world tells the player what they are looking at.,notes/mod_thumbnail_cards/cards/62-quality-of-life-jade.png,Jade-1.20.1-Forge-11.13.2.jar,Jade
Quality of Life,Mouse Tweaks,Inventory drag and click improvements.,Keep repetitive inventory actions lighter so the pack's complexity costs less energy.,notes/mod_thumbnail_cards/cards/63-quality-of-life-mouse-tweaks.png,MouseTweaks-forge-mc1.20.1-2.25.1.jar,Mouse Tweaks
Quality of Life,Controlling,Keybind search and conflict management.,Point players here early so modded controls do not become an invisible wall.,notes/mod_thumbnail_cards/cards/64-quality-of-life-controlling.png,Controlling-forge-1.20.1-12.0.2.jar,Controlling
Quality of Life,Inventory HUD,"HUD overlays for inventory, armor, and effects.",Use as optional self-monitoring for players who like visible state and fewer surprises.,notes/mod_thumbnail_cards/cards/65-quality-of-life-inventory-hud.png,inventoryhud.forge.1.20.1-3.4.26.jar,Inventory HUD+
Quality of Life,Item Zoom,Lets players inspect item models closely.,"Support delight and recognition: inspect artifacts, plushies, tools, and strange items.",notes/mod_thumbnail_cards/cards/66-quality-of-life-item-zoom.png,itemzoom-1.20.1-2.9.0.jar,Item Zoom
Quality of Life,Searchables,Search support library used by UI mods.,Treat as behind-the-scenes cognitive load reduction for menus and keybinds.,notes/mod_thumbnail_cards/cards/67-quality-of-life-searchables.png,Searchables-forge-1.20.1-1.0.3.jar,Searchables
Inventory & Load Management,Cloud Storage,Portable/cloud-like storage with item management.,Use as a midgame relief valve when inventories start feeling impossible to hold mentally.,notes/mod_thumbnail_cards/cards/68-inventory-load-management-cloud-storage.png,cloudstorage-1.4.0-1.20.jar,Cloud Storage
Inventory & Load Management,Baubley Heart Canisters,Health upgrades through wearable or crafted canisters.,"Make health growth a body-care arc: sturdier, safer, and earned through preparation.",notes/mod_thumbnail_cards/cards/69-inventory-load-management-baubley-heart-canisters.png,baubley-heart-canisters-1.20.1-1.2.0.jar,Baubley Heart Canisters
Inventory & Load Management,Inventory Pets,Collectible pets that grant utilities and playful effects.,Use as expressive helper companions that soften utility progression.,notes/mod_thumbnail_cards/cards/70-inventory-load-management-inventory-pets.png,inventorypets-1.20.1-2.2.8.jar,Inventory Pets
Comfort & Expression,Plushies,Collectible plush decorations.,Use plushies as comfort rewards for emotional milestones and cozy base corners.,notes/mod_thumbnail_cards/cards/71-comfort-expression-plushies.png,plushies-1.4.0-forge.jar,Plushie Mod
Comfort & Expression,Decorative Blocks,Decorative building blocks and props.,"Reward base personalization as progress, not procrastination.",notes/mod_thumbnail_cards/cards/72-comfort-expression-decorative-blocks.png,decorative_blocks-forge-1.20.1-4.1.3.jar,Decorative Blocks
Comfort & Expression,Night Lights,Small lighting and ambience blocks.,Use night lights as sensory-safety objects in early shelters and recovery rooms.,notes/mod_thumbnail_cards/cards/73-comfort-expression-night-lights.png,nightlights-1.20.1-1.1.jar,Night Lights
Comfort & Expression,Dimensional Paintings,Paintings or portals with dimensional/visual flair.,"Use as memory walls: visual anchors for places, chapters, and identity shifts.",notes/mod_thumbnail_cards/cards/74-comfort-expression-dimensional-paintings.png,Dimensional-Paintings-1.20.1-2.1.1.jar,Dimensional Paintings
Comfort & Expression,Display Case,Display blocks for showcasing items.,"Let players preserve milestones physically: first tool, first relic, first hard-won trophy.",notes/mod_thumbnail_cards/cards/75-comfort-expression-display-case.png,Display Case-forge-1.20-1.0.8.jar,Display Case Mod
Comfort & Expression,Simple Hats,Cosmetic hats and wearable expression.,Use hats as low-stakes identity play and celebration rewards.,notes/mod_thumbnail_cards/cards/76-comfort-expression-simple-hats.png,simplehats-forge-1.20.1-0.4.0a.jar,SimpleHats
Performance & Optimization,Embeddium,Rendering performance optimization for Forge.,Keep the pack more comfortable for lower-end systems and reduce visual strain from lag.,notes/mod_thumbnail_cards/cards/77-performance-optimization-embeddium.png,embeddium-0.3.31+mc1.20.1.jar,Embeddium
Performance & Optimization,Oculus,Shader support for Forge.,Offer optional beauty while keeping shaders out of required progression.,notes/mod_thumbnail_cards/cards/78-performance-optimization-oculus.png,oculus-mc1.20.1-1.8.0.jar,Oculus
Performance & Optimization,FerriteCore,Memory usage optimization.,Quietly improves stability so large mod systems feel less fragile.,notes/mod_thumbnail_cards/cards/79-performance-optimization-ferritecore.png,ferritecore-6.0.1-forge.jar,Ferrite Core
Performance & Optimization,ModernFix,"Performance, loading, and memory fixes.","Use as a baseline stability layer for a large, emotionally dense pack.",notes/mod_thumbnail_cards/cards/80-performance-optimization-modernfix.png,modernfix-forge-5.26.2+mc1.20.1.jar,ModernFix
Performance & Optimization,Clumps,Combines XP orbs to reduce lag.,Make XP collection less noisy and less performance-heavy after farms or fights.,notes/mod_thumbnail_cards/cards/81-performance-optimization-clumps.png,,
Performance & Optimization,Toast Control,Controls pop-up toast notifications.,Reduce sensory interruption by limiting noisy notifications during play.,notes/mod_thumbnail_cards/cards/82-performance-optimization-toast-control.png,ToastControl-1.20.1-8.0.3.jar,Toast Control
Libraries & Dependencies,Architectury,Cross-loader API library used by many mods.,"Keep documented as a required backend piece, not player-facing progression.",notes/mod_thumbnail_cards/cards/83-libraries-dependencies-architectury.png,architectury-9.2.14-forge.jar,Architectury
Libraries & Dependencies,Curios,"Accessory slot API for trinkets, relics, and wearable upgrades.",Use as the equipment backbone for identity objects and practical supports.,notes/mod_thumbnail_cards/cards/84-libraries-dependencies-curios.png,curios-forge-5.14.1+1.20.1.jar,Curios API
Libraries & Dependencies,GeckoLib,Animation library for entity and item animations.,"Supports animated mobs, magic, and expressive mod content behind the scenes.",notes/mod_thumbnail_cards/cards/85-libraries-dependencies-geckolib.png,geckolib-forge-1.20.1-4.8.3.jar,GeckoLib 4
Libraries & Dependencies,Bookshelf,Shared library for mod features and utilities.,Document as part of the pack's dependency base so updates stay understandable.,notes/mod_thumbnail_cards/cards/86-libraries-dependencies-bookshelf.png,Bookshelf-Forge-1.20.1-20.2.15.jar,Bookshelf
Libraries & Dependencies,Placebo,Library required by Apotheosis and related mods.,Keep tied to Apotheosis in maintenance notes so updates are not separated accidentally.,notes/mod_thumbnail_cards/cards/87-libraries-dependencies-placebo.png,Placebo-1.20.1-8.6.3.jar,Placebo
Libraries & Dependencies,Balm,Shared library used by BlayTheNinth mods such as Cooking for Blockheads.,Supports comfort/routine mods quietly in the background.,notes/mod_thumbnail_cards/cards/88-libraries-dependencies-balm.png,balm-forge-1.20.1-7.3.38-all.jar,Balm
Libraries & Dependencies,LibX,Library for mods that need common helper systems.,"Track as backend plumbing, especially around Botania-adjacent mods.",notes/mod_thumbnail_cards/cards/89-libraries-dependencies-libx.png,LibX-1.20.1-5.0.12.jar,LibX
Libraries & Dependencies,ResourcefulLib,Library used by several modern mods for assets and common utilities.,Keep as shared infrastructure for UI/data-heavy mods.,notes/mod_thumbnail_cards/cards/90-libraries-dependencies-resourcefullib.png,resourcefullib-forge-1.20.1-2.1.29.jar,Resourceful Lib
Libraries & Dependencies,Citadel,Library powering Alex's Mobs and other entity-heavy mods.,Track with creature and challenge content so dependency updates stay paired.,notes/mod_thumbnail_cards/cards/91-libraries-dependencies-citadel.png,citadel-2.6.3-1.20.1.jar,Citadel
Libraries & Dependencies,Patchouli,In-game guidebook framework.,"Use for future written lore, chapter guides, and gentle explanations outside FTB Quests.",notes/mod_thumbnail_cards/cards/92-libraries-dependencies-patchouli.png,Patchouli-1.20.1-85-FORGE.jar,Patchouli
